# babric intermediary -> calamus gen2 intermediary (b1.7.3)
c	argo/format/CompactJsonFormatter	net/minecraft/unmapped/C_98947689
c	argo/format/CompactJsonFormatter$1	net/minecraft/unmapped/C_29312769
c	argo/format/JsonEscapedString	net/minecraft/unmapped/C_73364496
c	argo/format/JsonFormatter	net/minecraft/unmapped/C_96191056
c	argo/jdom/ChainedFunctor	net/minecraft/unmapped/C_42620053
c	argo/jdom/Functor	net/minecraft/unmapped/C_18530764
c	argo/jdom/JdomParser	net/minecraft/unmapped/C_45909191
c	argo/jdom/JsonArray	net/minecraft/unmapped/C_80301944
c	argo/jdom/JsonArray$1	net/minecraft/unmapped/C_58338291
c	argo/jdom/JsonArrayNodeBuilder	net/minecraft/unmapped/C_62054333
c	argo/jdom/JsonConstants	net/minecraft/unmapped/C_34240353
c	argo/jdom/JsonFieldBuilder	net/minecraft/unmapped/C_52414917
c	argo/jdom/JsonListenerToJdomAdapter	net/minecraft/unmapped/C_62514435
c	argo/jdom/JsonListenerToJdomAdapter$1	net/minecraft/unmapped/C_93410249
c	argo/jdom/JsonListenerToJdomAdapter$2	net/minecraft/unmapped/C_46316363
c	argo/jdom/JsonListenerToJdomAdapter$3	net/minecraft/unmapped/C_35499707
c	argo/jdom/JsonListenerToJdomAdapter$NodeContainer	net/minecraft/unmapped/C_30782412
c	argo/jdom/JsonNode	net/minecraft/unmapped/C_49105368
c	argo/jdom/JsonNodeBuilder	net/minecraft/unmapped/C_18368714
c	argo/jdom/JsonNodeBuilders	net/minecraft/unmapped/C_76028712
c	argo/jdom/JsonNodeBuilders$1	net/minecraft/unmapped/C_87562732
c	argo/jdom/JsonNodeBuilders$2	net/minecraft/unmapped/C_70104989
c	argo/jdom/JsonNodeBuilders$3	net/minecraft/unmapped/C_20232373
c	argo/jdom/JsonNodeDoesNotMatchChainedJsonNodeSelectorException	net/minecraft/unmapped/C_32029965
c	argo/jdom/JsonNodeDoesNotMatchJsonNodeSelectorException	net/minecraft/unmapped/C_75444724
c	argo/jdom/JsonNodeDoesNotMatchPathElementsException	net/minecraft/unmapped/C_01635068
c	argo/jdom/JsonNodeFactories	net/minecraft/unmapped/C_74529266
c	argo/jdom/JsonNodeSelector	net/minecraft/unmapped/C_03367835
c	argo/jdom/JsonNodeSelectors	net/minecraft/unmapped/C_41874688
c	argo/jdom/JsonNodeSelectors$1	net/minecraft/unmapped/C_64509670
c	argo/jdom/JsonNodeSelectors$10	net/minecraft/unmapped/C_13412947
c	argo/jdom/JsonNodeSelectors$12	net/minecraft/unmapped/C_64730384
c	argo/jdom/JsonNodeSelectors$13	net/minecraft/unmapped/C_00522450
c	argo/jdom/JsonNodeSelectors$8	net/minecraft/unmapped/C_59435135
c	argo/jdom/JsonNodeType	net/minecraft/unmapped/C_74834866
c	argo/jdom/JsonNumberNode	net/minecraft/unmapped/C_51673989
c	argo/jdom/JsonNumberNodeBuilder	net/minecraft/unmapped/C_24101837
c	argo/jdom/JsonObject	net/minecraft/unmapped/C_05749010
c	argo/jdom/JsonObjectNodeBuilder	net/minecraft/unmapped/C_32542459
c	argo/jdom/JsonObjectNodeBuilder$1	net/minecraft/unmapped/C_28308777
c	argo/jdom/JsonRootNode	net/minecraft/unmapped/C_35971787
c	argo/jdom/JsonStringNode	net/minecraft/unmapped/C_65175111
c	argo/jdom/JsonStringNodeBuilder	net/minecraft/unmapped/C_64153253
c	argo/jdom/LeafFunctor	net/minecraft/unmapped/C_46912152
c	argo/saj/InvalidSyntaxException	net/minecraft/unmapped/C_90210845
c	argo/saj/JsonListener	net/minecraft/unmapped/C_23604545
c	argo/saj/PositionTrackingPushbackReader	net/minecraft/unmapped/C_72876972
c	argo/saj/SajParser	net/minecraft/unmapped/C_84170137
c	argo/saj/ThingWithPosition	net/minecraft/unmapped/C_34685111
c	net/minecraft/class_1	net/minecraft/unmapped/C_94816707
c	net/minecraft/class_10	net/minecraft/unmapped/C_58873528
c	net/minecraft/class_10$1	net/minecraft/unmapped/C_15575233
c	net/minecraft/class_100	net/minecraft/unmapped/C_12489945
c	net/minecraft/class_101	net/minecraft/unmapped/C_68899226
c	net/minecraft/class_102	net/minecraft/unmapped/C_57602253
c	net/minecraft/class_103	net/minecraft/unmapped/C_49528123
c	net/minecraft/class_104	net/minecraft/unmapped/C_99795455
c	net/minecraft/class_105	net/minecraft/unmapped/C_31728388
c	net/minecraft/class_106	net/minecraft/unmapped/C_85168338
c	net/minecraft/class_107	net/minecraft/unmapped/C_57523413
c	net/minecraft/class_108	net/minecraft/unmapped/C_48441102
c	net/minecraft/class_109	net/minecraft/unmapped/C_10493850
c	net/minecraft/class_11	net/minecraft/unmapped/C_99660737
c	net/minecraft/class_110	net/minecraft/unmapped/C_57247398
c	net/minecraft/class_111	net/minecraft/unmapped/C_48145476
c	net/minecraft/class_112	net/minecraft/unmapped/C_35771170
c	net/minecraft/class_113	net/minecraft/unmapped/C_13860305
c	net/minecraft/class_114	net/minecraft/unmapped/C_43112843
c	net/minecraft/class_115	net/minecraft/unmapped/C_49334781
c	net/minecraft/class_116	net/minecraft/unmapped/C_50456764
c	net/minecraft/class_117	net/minecraft/unmapped/C_39588828
c	net/minecraft/class_117$1	net/minecraft/unmapped/C_62556030
c	net/minecraft/class_117$2	net/minecraft/unmapped/C_52522387
c	net/minecraft/class_117$3	net/minecraft/unmapped/C_42766668
c	net/minecraft/class_117$4	net/minecraft/unmapped/C_99036743
c	net/minecraft/class_118	net/minecraft/unmapped/C_47909326
c	net/minecraft/class_119	net/minecraft/unmapped/C_27971442
c	net/minecraft/class_12	net/minecraft/unmapped/C_54930763
c	net/minecraft/class_120	net/minecraft/unmapped/C_51404117
c	net/minecraft/class_121	net/minecraft/unmapped/C_08321986
c	net/minecraft/class_122	net/minecraft/unmapped/C_82245145
c	net/minecraft/class_123	net/minecraft/unmapped/C_77418302
c	net/minecraft/class_124	net/minecraft/unmapped/C_98888256
